
2024/12/17 (19:40:14) | ===> btop++ v.1.4.0
2024/12/17 (19:40:14) | INFO: Logger set to INFO
2024/12/17 (19:40:15) | INFO: Logger set to DEBUG

2024/12/28 (18:12:57) | ===> btop++ v.1.4.0
2024/12/28 (18:12:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (18:14:45) | ===> btop++ v.1.4.0
2024/12/28 (18:14:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/05 (06:05:12) | ===> btop++ v.1.4.0
2025/01/05 (06:05:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (20:20:20) | ===> btop++ v.1.4.0
2025/01/06 (20:20:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (20:20:40) | ===> btop++ v.1.4.0
2025/01/06 (20:20:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (22:34:53) | ===> btop++ v.1.4.0
2025/01/06 (22:34:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (22:35:36) | ===> btop++ v.1.4.0
2025/01/06 (22:35:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (19:27:13) | ===> btop++ v.1.4.0
2025/01/07 (19:27:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:51:54) | ===> btop++ v.1.4.0
2025/01/07 (22:51:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:52:43) | ===> btop++ v.1.4.0
2025/01/07 (22:52:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:53:00) | ===> btop++ v.1.4.0
2025/01/07 (22:53:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:53:59) | ===> btop++ v.1.4.0
2025/01/07 (22:53:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:56:47) | ===> btop++ v.1.4.0
2025/01/07 (22:56:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:58:13) | ===> btop++ v.1.4.0
2025/01/07 (22:58:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (22:30:01) | ===> btop++ v.1.4.0
2025/01/08 (22:30:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (22:35:16) | ===> btop++ v.1.4.0
2025/01/08 (22:35:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (22:54:58) | ===> btop++ v.1.4.0
2025/01/08 (22:54:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (21:05:04) | ===> btop++ v.1.4.0
2025/01/09 (21:05:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (18:08:43) | ===> btop++ v.1.4.0
2025/01/18 (18:08:43) | WARNING: Intel GPU: Failed to initialize PMU
